name,nickname,wins,losses,draws,height_cm,weight_in_kg,reach_in_cm,stance,date_of_birth,significant_strikes_landed_per_minute,significant_striking_accuracy,significant_strikes_absorbed_per_minute,significant_strike_defence,average_takedowns_landed_per_15_minutes,takedown_accuracy,takedown_defense,average_submissions_attempted_per_15_minutes,gender
Steve Bosse,The Boss,12,2,0,180.34,92.99,182.88,Orthodox,00:00.0,5.99,52,5.38,50,0.92,33,100,5.99,Male
Gregory Rodrigues,Robocop,14,5,0,190.5,83.91,190.5,Orthodox,00:00.0,5.99,55,5.67,51,2.4,50,100,5.99,Male
Armen Petrosyan,Superman,9,2,0,190.5,83.91,180.34,Orthodox,00:00.0,5.97,52,3.03,56,0.23,33,36,5.97,Male
Marc-Andre Barriault,Powerbar,16,6,0,185.42,83.91,187.96,Orthodox,00:00.0,5.95,47,5.22,53,0.24,25,67,5.95,Male
Zhang Weili,Magnum,24,3,0,162.56,52.16,160.02,Switch,00:00.0,5.94,51,3.44,53,2.29,42,66,5.94,Female
Gisele Moreira,,8,3,0,167.64,61.23,,Orthodox,00:00.0,5.93,42,6.33,48,4.0,57,0,5.93,Male
Dylan Mantello,The Quiet Man,7,3,0,185.42,70.31,185.42,Orthodox,00:00.0,5.93,56,9.42,53,0.0,0,0,5.93,Male
Todd Duffee,,9,3,0,190.5,117.93,198.12,Orthodox,00:00.0,5.93,37,2.87,56,0.72,25,90,5.93,Male
Theo Rlayang,Jungle King,5,1,0,170.18,65.77,165.1,Orthodox,00:00.0,5.93,48,8.4,40,2.0,40,0,5.93,Male
Karolina Kowalkiewicz,,16,7,0,160.02,52.16,162.56,Orthodox,00:00.0,5.92,43,5.55,59,0.36,26,74,5.92,Female
